"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","sentence1","Comments"
1552257458,183,"PennController",46,0,"prepositional","NULL","PennController",46,"_Trial_","Start",1552256247805,"The offensive comedian was an entertainer whom no audience would generally laugh at.","NULL"
1552257458,183,"PennController",46,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256262794,"The offensive comedian was an entertainer whom no audience would generally laugh at.","NULL"
1552257458,183,"PennController",46,0,"prepositional","NULL","PennController",46,"_Trial_","End",1552256264093,"The offensive comedian was an entertainer whom no audience would generally laugh at.","NULL"
1552257458,183,"PennController",14,0,"filler","NULL","PennController",14,"_Trial_","Start",1552256264096,"The beautiful wedding was an event that for some time will be remembered.","NULL"
1552257458,183,"PennController",14,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256272291,"The beautiful wedding was an event that for some time will be remembered.","NULL"
1552257458,183,"PennController",14,0,"filler","NULL","PennController",14,"_Trial_","End",1552256273236,"The beautiful wedding was an event that for some time will be remembered.","NULL"
1552257458,183,"PennController",55,0,"particle","NULL","PennController",55,"_Trial_","Start",1552256273239,"The difficult hike is a challenge which any adventurer should carefully gear up for.","NULL"
1552257458,183,"PennController",55,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256285587,"The difficult hike is a challenge which any adventurer should carefully gear up for.","NULL"
1552257458,183,"PennController",55,0,"particle","NULL","PennController",55,"_Trial_","End",1552256286725,"The difficult hike is a challenge which any adventurer should carefully gear up for.","NULL"
1552257458,183,"PennController",28,0,"prepositional","NULL","PennController",28,"_Trial_","Start",1552256286728,"The exhausting trip was a vacation which my friends will barely recover from.","NULL"
1552257458,183,"PennController",28,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256303027,"The exhausting trip was a vacation which my friends will barely recover from.","NULL"
1552257458,183,"PennController",28,0,"prepositional","NULL","PennController",28,"_Trial_","End",1552256303925,"The exhausting trip was a vacation which my friends will barely recover from.","NULL"
1552257458,183,"PennController",8,0,"filler","NULL","PennController",8,"_Trial_","Start",1552256303927,"Each new adventure is an experience that at the start will feel uncomfortable.","NULL"
1552257458,183,"PennController",8,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256319097,"Each new adventure is an experience that at the start will feel uncomfortable.","NULL"
1552257458,183,"PennController",8,0,"filler","NULL","PennController",8,"_Trial_","End",1552256320092,"Each new adventure is an experience that at the start will feel uncomfortable.","NULL"
1552257458,183,"PennController",56,0,"particle","NULL","PennController",56,"_Trial_","Start",1552256320095,"The tough test was a milestone which no student could ever feel up to.","NULL"
1552257458,183,"PennController",56,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256337170,"The tough test was a milestone which no student could ever feel up to.","NULL"
1552257458,183,"PennController",56,0,"particle","NULL","PennController",56,"_Trial_","End",1552256337922,"The tough test was a milestone which no student could ever feel up to.","NULL"
1552257458,183,"PennController",40,0,"prepositional","NULL","PennController",40,"_Trial_","Start",1552256337923,"That retired teacher is the customer whom the server would often wait on.","NULL"
1552257458,183,"PennController",40,0,"prepositional","NULL","Selector","trial1","Selection","sentence1",1552256348251,"That retired teacher is the customer whom the server would often wait on.","NULL"
1552257458,183,"PennController",40,0,"prepositional","NULL","PennController",40,"_Trial_","End",1552256349213,"That retired teacher is the customer whom the server would often wait on.","NULL"
1552257458,183,"PennController",25,0,"filler","NULL","PennController",25,"_Trial_","Start",1552256349215,"That gray squirrel was a creature that near the tree would bury nuts.","NULL"
1552257458,183,"PennController",25,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256355362,"That gray squirrel was a creature that near the tree would bury nuts.","NULL"
1552257458,183,"PennController",25,0,"filler","NULL","PennController",25,"_Trial_","End",1552256356122,"That gray squirrel was a creature that near the tree would bury nuts.","NULL"
1552257458,183,"PennController",61,0,"particle","NULL","PennController",61,"_Trial_","Start",1552256356123,"That timid accountant was the employee whom the boss would always talk down to.","NULL"
1552257458,183,"PennController",61,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256365481,"That timid accountant was the employee whom the boss would always talk down to.","NULL"
1552257458,183,"PennController",61,0,"particle","NULL","PennController",61,"_Trial_","End",1552256366572,"That timid accountant was the employee whom the boss would always talk down to.","NULL"
1552257458,183,"PennController",39,0,"prepositional","NULL","PennController",39,"_Trial_","Start",1552256366575,"Her well-behaved daughter is an angel whom most babysitters would gladly care for.","NULL"
1552257458,183,"PennController",39,0,"prepositional","NULL","Selector","trial1","Selection","sentence2",1552256379049,"Her well-behaved daughter is an angel whom most babysitters would gladly care for.","NULL"
1552257458,183,"PennController",39,0,"prepositional","NULL","PennController",39,"_Trial_","End",1552256380089,"Her well-behaved daughter is an angel whom most babysitters would gladly care for.","NULL"
1552257458,183,"PennController",23,0,"filler","NULL","PennController",23,"_Trial_","Start",1552256380092,"The amateur chef was a cook who in the kitchen would develop recipes.","NULL"
1552257458,183,"PennController",23,0,"filler","NULL","Selector","trial1","Selection","sentence2",1552256388610,"The amateur chef was a cook who in the kitchen would develop recipes.","NULL"
1552257458,183,"PennController",23,0,"filler","NULL","PennController",23,"_Trial_","End",1552256389372,"The amateur chef was a cook who in the kitchen would develop recipes.","NULL"
1552257458,183,"PennController",54,0,"particle","NULL","PennController",54,"_Trial_","Start",1552256389374,"The  upcoming release is an update which the programmer will gladly help out with.","NULL"
1552257458,183,"PennController",54,0,"particle","NULL","Selector","trial1","Selection","sentence1",1552256396434,"The  upcoming release is an update which the programmer will gladly help out with.","NULL"
1552257458,183,"PennController",54,0,"particle","NULL","PennController",54,"_Trial_","End",1552256397804,"The  upcoming release is an update which the programmer will gladly help out with.","NULL"
1552257458,183,"PennController",43,0,"prepositional","NULL","PennController",43,"_Trial_","Start",1552256397807,"The master violinist was a musician whom few professionals could really compare to.","NULL"
