VersionA,VersionB,type
The talented musician was a performer who on some days would sing opera.,The talented musician was a performer who would sing opera on some days.,filler
Each new adventure is an experience that at the start will feel uncomfortable.,Each new adventure is an experience that will feel uncomfortable at the start.,filler
That old song was a tune that by the end would sound familiar.,That old song was a tune that would sound familiar by the end.,filler
That abstract painting was a work that after a minute would look boring.,That abstract painting was a work that would look boring after a minute.,filler
The delicate pastry is a food that before too long could lose flavor.,The delicate pastry is a food that could lose flavor before too long.,filler
A guard dog is a pet that during the night must keep watch.,A guard dog is a pet that must keep watch during the night.,filler
That quiet teenager was an employee who at closing time would wash dishes.,That quiet teenager was an employee who would wash dishes at closing time.,filler
The beautiful wedding was an event that for some time will be remembered.,The beautiful wedding was an event that will be remembered for some time.,filler
That stubborn stain is an annoyance that by this point should be gone.,That stubborn stain is an annoyance that should be gone by this point.,filler
The chocolate cake is a dessert that later this evening must be baked.,The chocolate cake is a dessert that must be baked later this evening.,filler
The young man was a student who in the library would read books.,The young man was a student who would read books in the library.,filler
The older customer was a patron who at this cafe would sip coffee.,The older customer was a patron who would sip coffee at this cafe.,filler
The stern captain is the officer who on the boat could give orders.,The stern captain is the officer who could give orders on the boat.,filler
The young intellectual is a writer who in the park would write poetry.,The young intellectual is a writer who would write poetry in the park.,filler
The serious weightlifter was an athlete who at the gym would rarely speak.,The serious weightlifter was an athlete who would rarely speak at the gym.,filler
The new teacher is a vocalist who at this school will teach music.,The new teacher is a vocalist who will teach music at this school.,filler
The amateur chef was a cook who in the kitchen would develop recipes.,The amateur chef was a cook who would develop recipes in the kitchen.,filler
The experienced artist is a master who by the statue will paint portraits.,The experienced artist is a master who will paint portraits by the statue.,filler
That gray squirrel was a creature that near the tree would bury nuts.,That gray squirrel was a creature that would bury nuts near the tree.,filler
The post office was a service that around the world would deliver letters.,The post office was a service that would deliver letters around the world.,filler
That rare edition was a book  which the collector would always look out for.,That rare edition was a book  out for which the collector would always look.,particle
This new technology is a subject which all professionals must tirelessly keep up with.,This new technology is a subject up with which all professionals must tirelessly keep.,particle
The first snowfall was an event which my brother would impatiently look forward to.,The first snowfall was an event forward to which my brother would impatiently look.,particle
The popular shampoo was a product which the store would regularly run out of.,The popular shampoo was a product out of which the store would regularly run.,particle
This secure cell was an area which no prisoner could ever break out of.,This secure cell was an area out of which no prisoner could ever break.,particle
Her first birthday is an event which her dad must unfortunately miss out on.,Her first birthday is an event out on which her dad must unfortunately miss.,particle
The unsigned contract is a deal which the businesswoman could still back out of.,The unsigned contract is a deal out of which the businesswoman could still back.,particle
The  upcoming release is an update which the programmer will gladly help out with.,The  upcoming release is an update out with which the programmer will gladly help.,particle
The difficult hike is a challenge which any adventurer should carefully gear up for.,The difficult hike is a challenge up for which any adventurer should carefully gear.,particle
The tough test was a milestone which no student could ever feel up to.,The tough test was a milestone up to which no student could ever feel.,particle
My friendly uncle is a relative whom most everyone can easily get along with.,My friendly uncle is a relative along with whom most everyone can easily get.,particle
This kind woman was a friend whom my aunt would frequently catch up with.,This kind woman was a friend up with whom my aunt would frequently catch.,particle
Their dishonest mother was a liar whom the children could never make up with.,Their dishonest mother was a liar up with whom the children could never make.,particle
A real friend is someone whom you must consistently stick up for.,A real friend is someone up for whom you must consistently stick.,particle
That timid accountant was the employee whom the boss would always talk down to.,That timid accountant was the employee down to whom the boss would always talk.,particle
That bearded man is the teacher whom the substitute would occasionally fill in for.,That bearded man is the teacher in for whom the substitute would occasionally fill.,particle
That tall carpenter was the gentleman whom my sister would sometimes go out with.,That tall carpenter was the gentleman out with whom my sister would sometimes go.,particle
The quiet child is a troublemaker whom all babysitters should often check in on.,The quiet child is a troublemaker in on whom all babysitters should often check.,particle
The expert chef was a master whom any amateur must humbly look up to.,The expert chef was a master up to whom any amateur must humbly look.,particle
